,Year,Location,Number of Households,Tenure,Housing Characteristics
1408,2021,"Ottawa-Gatineau, Ontario/Quebec",33500,Renter,35 to 44 years
1409,2022,"Ottawa-Gatineau, Ontario/Quebec",37500,Renter,35 to 44 years
1411,2021,"Ottawa-Gatineau, Ontario/Quebec",27500,Renter,45 to 54 years
1412,2022,"Ottawa-Gatineau, Ontario/Quebec",28900,Renter,45 to 54 years
1414,2021,"Ottawa-Gatineau, Ontario/Quebec",33100,Renter,55 to 64 years
1415,2022,"Ottawa-Gatineau, Ontario/Quebec",34000,Renter,55 to 64 years
1417,2021,"Ottawa-Gatineau, Ontario/Quebec",20000,Renter,65 to 74 years
1418,2022,"Ottawa-Gatineau, Ontario/Quebec",26600,Renter,65 to 74 years
1420,2021,"Ottawa-Gatineau, Ontario/Quebec",16300,Renter,75 years and older
1421,2022,"Ottawa-Gatineau, Ontario/Quebec",19200,Renter,75 years and older
1426,2021,"Ottawa-Gatineau, Ontario/Quebec",126100,Renter,Employed
1427,2022,"Ottawa-Gatineau, Ontario/Quebec",134000,Renter,Employed
1429,2021,"Ottawa-Gatineau, Ontario/Quebec",81900,Renter,Not employed
1430,2022,"Ottawa-Gatineau, Ontario/Quebec",86700,Renter,Not employed
1435,2021,"Ottawa-Gatineau, Ontario/Quebec",57400,Renter,Belongs to a visible minority group
1436,2022,"Ottawa-Gatineau, Ontario/Quebec",74100,Renter,Belongs to a visible minority group
1438,2021,"Ottawa-Gatineau, Ontario/Quebec",150700,Renter,Does not belong to a visible minority group
1439,2022,"Ottawa-Gatineau, Ontario/Quebec",146400,Renter,Does not belong to a visible minority group
1444,2021,"Ottawa-Gatineau, Ontario/Quebec",15500,Renter,Very difficult to meet financial needs
1445,2022,"Ottawa-Gatineau, Ontario/Quebec",24900,Renter,Very difficult to meet financial needs
1447,2021,"Ottawa-Gatineau, Ontario/Quebec",43800,Renter,Difficult to meet financial needs
1448,2022,"Ottawa-Gatineau, Ontario/Quebec",53300,Renter,Difficult to meet financial needs
1450,2021,"Ottawa-Gatineau, Ontario/Quebec",73600,Renter,Neither difficult nor easy to meet financial needs
1451,2022,"Ottawa-Gatineau, Ontario/Quebec",103500,Renter,Neither difficult nor easy to meet financial needs
1453,2021,"Ottawa-Gatineau, Ontario/Quebec",46500,Renter,Easy to meet financial needs
1454,2022,"Ottawa-Gatineau, Ontario/Quebec",26700,Renter,Easy to meet financial needs
1456,2021,"Ottawa-Gatineau, Ontario/Quebec",28900,Renter,Very easy to meet financial needs
1457,2022,"Ottawa-Gatineau, Ontario/Quebec",13400,Renter,Very easy to meet financial needs
1462,2021,"Toronto, Ontario",66100,First-time homebuyer,One-family household - couple with children
1463,2022,"Toronto, Ontario",52200,First-time homebuyer,One-family household - couple with children
1465,2021,"Toronto, Ontario",67700,First-time homebuyer,One-family household - couple without children
1466,2022,"Toronto, Ontario",42300,First-time homebuyer,One-family household - couple without children
1468,2021,"Toronto, Ontario",12100,First-time homebuyer,One-family household - one-parent family
1469,2022,"Toronto, Ontario",20400,First-time homebuyer,One-family household - one-parent family
1471,2021,"Toronto, Ontario",45900,First-time homebuyer,Other family household
1472,2022,"Toronto, Ontario",25800,First-time homebuyer,Other family household
1474,2021,"Toronto, Ontario",31300,First-time homebuyer,One-person household
1475,2022,"Toronto, Ontario",71600,First-time homebuyer,One-person household
1477,2021,"Toronto, Ontario",3400,First-time homebuyer,Two-or-more-person non-family household
1478,2022,"Toronto, Ontario",1700,First-time homebuyer,Two-or-more-person non-family household
1483,2021,"Toronto, Ontario",15300,First-time homebuyer,15 to 24 years
1484,2022,"Toronto, Ontario",4500,First-time homebuyer,15 to 24 years
1486,2021,"Toronto, Ontario",87200,First-time homebuyer,25 to 34 years
1487,2022,"Toronto, Ontario",91100,First-time homebuyer,25 to 34 years
1489,2021,"Toronto, Ontario",72200,First-time homebuyer,35 to 44 years
1490,2022,"Toronto, Ontario",61900,First-time homebuyer,35 to 44 years
1492,2021,"Toronto, Ontario",31900,First-time homebuyer,45 to 54 years
1493,2022,"Toronto, Ontario",29200,First-time homebuyer,45 to 54 years
1495,2021,"Toronto, Ontario",13300,First-time homebuyer,55 to 64 years
1496,2022,"Toronto, Ontario",26900,First-time homebuyer,55 to 64 years
1498,2021,"Toronto, Ontario",2800,First-time homebuyer,65 to 74 years
1499,2022,"Toronto, Ontario",300,First-time homebuyer,65 to 74 years
1501,2021,"Toronto, Ontario",4000,First-time homebuyer,75 years and older
1502,2022,"Toronto, Ontario",0,First-time homebuyer,75 years and older
1507,2021,"Toronto, Ontario",200500,First-time homebuyer,Employed
1508,2022,"Toronto, Ontario",178900,First-time homebuyer,Employed
1510,2021,"Toronto, Ontario",26100,First-time homebuyer,Not employed
1511,2022,"Toronto, Ontario",35100,First-time homebuyer,Not employed
1516,2021,"Toronto, Ontario",161700,First-time homebuyer,Belongs to a visible minority group
1517,2022,"Toronto, Ontario",139200,First-time homebuyer,Belongs to a visible minority group
1519,2021,"Toronto, Ontario",64900,First-time homebuyer,Does not belong to a visible minority group
1520,2022,"Toronto, Ontario",74800,First-time homebuyer,Does not belong to a visible minority group
1525,2021,"Toronto, Ontario",12200,First-time homebuyer,Very difficult to meet financial needs
1526,2022,"Toronto, Ontario",14600,First-time homebuyer,Very difficult to meet financial needs
1528,2021,"Toronto, Ontario",50300,First-time homebuyer,Difficult to meet financial needs
1529,2022,"Toronto, Ontario",66500,First-time homebuyer,Difficult to meet financial needs
1531,2021,"Toronto, Ontario",92000,First-time homebuyer,Neither difficult nor easy to meet financial needs
1532,2022,"Toronto, Ontario",106700,First-time homebuyer,Neither difficult nor easy to meet financial needs
1534,2021,"Toronto, Ontario",51200,First-time homebuyer,Easy to meet financial needs
1535,2022,"Toronto, Ontario",18900,First-time homebuyer,Easy to meet financial needs
1537,2021,"Toronto, Ontario",20700,First-time homebuyer,Very easy to meet financial needs
1538,2022,"Toronto, Ontario",7300,First-time homebuyer,Very easy to meet financial needs
1543,2021,"Toronto, Ontario",515700,Repeat homebuyer,One-family household - couple with children
1544,2022,"Toronto, Ontario",487100,Repeat homebuyer,One-family household - couple with children
1546,2021,"Toronto, Ontario",266100,Repeat homebuyer,One-family household - couple without children
1547,2022,"Toronto, Ontario",293200,Repeat homebuyer,One-family household - couple without children
1549,2021,"Toronto, Ontario",118700,Repeat homebuyer,One-family household - one-parent family
1550,2022,"Toronto, Ontario",120700,Repeat homebuyer,One-family household - one-parent family
1552,2021,"Toronto, Ontario",190900,Repeat homebuyer,Other family household
1553,2022,"Toronto, Ontario",197200,Repeat homebuyer,Other family household
1555,2021,"Toronto, Ontario",253100,Repeat homebuyer,One-person household
1556,2022,"Toronto, Ontario",257100,Repeat homebuyer,One-person household
1558,2021,"Toronto, Ontario",29200,Repeat homebuyer,Two-or-more-person non-family household
1559,2022,"Toronto, Ontario",35800,Repeat homebuyer,Two-or-more-person non-family household
1564,2021,"Toronto, Ontario",26800,Repeat homebuyer,15 to 24 years
1565,2022,"Toronto, Ontario",1100,Repeat homebuyer,15 to 24 years
1567,2021,"Toronto, Ontario",73500,Repeat homebuyer,25 to 34 years
1568,2022,"Toronto, Ontario",86500,Repeat homebuyer,25 to 34 years
1570,2021,"Toronto, Ontario",200000,Repeat homebuyer,35 to 44 years
1571,2022,"Toronto, Ontario",260100,Repeat homebuyer,35 to 44 years
1573,2021,"Toronto, Ontario",338900,Repeat homebuyer,45 to 54 years
1574,2022,"Toronto, Ontario",267800,Repeat homebuyer,45 to 54 years
1576,2021,"Toronto, Ontario",337500,Repeat homebuyer,55 to 64 years
1577,2022,"Toronto, Ontario",388800,Repeat homebuyer,55 to 64 years
1579,2021,"Toronto, Ontario",223300,Repeat homebuyer,65 to 74 years
1580,2022,"Toronto, Ontario",228900,Repeat homebuyer,65 to 74 years
1582,2021,"Toronto, Ontario",173600,Repeat homebuyer,75 years and older
1583,2022,"Toronto, Ontario",158000,Repeat homebuyer,75 years and older
1588,2021,"Toronto, Ontario",786100,Repeat homebuyer,Employed
1589,2022,"Toronto, Ontario",857300,Repeat homebuyer,Employed
1591,2021,"Toronto, Ontario",576600,Repeat homebuyer,Not employed
1592,2022,"Toronto, Ontario",529200,Repeat homebuyer,Not employed
1597,2021,"Toronto, Ontario",624000,Repeat homebuyer,Belongs to a visible minority group
1598,2022,"Toronto, Ontario",687100,Repeat homebuyer,Belongs to a visible minority group
1600,2021,"Toronto, Ontario",745200,Repeat homebuyer,Does not belong to a visible minority group
1601,2022,"Toronto, Ontario",694600,Repeat homebuyer,Does not belong to a visible minority group
1606,2021,"Toronto, Ontario",57800,Repeat homebuyer,Very difficult to meet financial needs
1607,2022,"Toronto, Ontario",88300,Repeat homebuyer,Very difficult to meet financial needs
1609,2021,"Toronto, Ontario",256000,Repeat homebuyer,Difficult to meet financial needs
1610,2022,"Toronto, Ontario",255000,Repeat homebuyer,Difficult to meet financial needs
1612,2021,"Toronto, Ontario",631500,Repeat homebuyer,Neither difficult nor easy to meet financial needs
1613,2022,"Toronto, Ontario",697000,Repeat homebuyer,Neither difficult nor easy to meet financial needs
1615,2021,"Toronto, Ontario",251100,Repeat homebuyer,Easy to meet financial needs
1616,2022,"Toronto, Ontario",247700,Repeat homebuyer,Easy to meet financial needs
1618,2021,"Toronto, Ontario",175500,Repeat homebuyer,Very easy to meet financial needs
1619,2022,"Toronto, Ontario",103100,Repeat homebuyer,Very easy to meet financial needs
1624,2021,"Toronto, Ontario",149200,Renter,One-family household - couple with children
1625,2022,"Toronto, Ontario",204400,Renter,One-family household - couple with children
1627,2021,"Toronto, Ontario",130200,Renter,One-family household - couple without children
1628,2022,"Toronto, Ontario",140100,Renter,One-family household - couple without children
1630,2021,"Toronto, Ontario",94700,Renter,One-family household - one-parent family
1631,2022,"Toronto, Ontario",95900,Renter,One-family household - one-parent family
1633,2021,"Toronto, Ontario",51600,Renter,Other family household
1634,2022,"Toronto, Ontario",23200,Renter,Other family household
1636,2021,"Toronto, Ontario",321100,Renter,One-person household
1637,2022,"Toronto, Ontario",350800,Renter,One-person household
1639,2021,"Toronto, Ontario",61300,Renter,Two-or-more-person non-family household
1640,2022,"Toronto, Ontario",109200,Renter,Two-or-more-person non-family household
1645,2021,"Toronto, Ontario",29800,Renter,15 to 24 years
1646,2022,"Toronto, Ontario",44900,Renter,15 to 24 years
1648,2021,"Toronto, Ontario",179100,Renter,25 to 34 years
1649,2022,"Toronto, Ontario",248700,Renter,25 to 34 years
1651,2021,"Toronto, Ontario",193900,Renter,35 to 44 years
1652,2022,"Toronto, Ontario",209400,Renter,35 to 44 years
1654,2021,"Toronto, Ontario",129600,Renter,45 to 54 years
1655,2022,"Toronto, Ontario",159000,Renter,45 to 54 years
1657,2021,"Toronto, Ontario",114400,Renter,55 to 64 years
1658,2022,"Toronto, Ontario",88500,Renter,55 to 64 years
1660,2021,"Toronto, Ontario",96000,Renter,65 to 74 years
1661,2022,"Toronto, Ontario",99900,Renter,65 to 74 years
1663,2021,"Toronto, Ontario",65200,Renter,75 years and older
1664,2022,"Toronto, Ontario",73100,Renter,75 years and older
1669,2021,"Toronto, Ontario",462300,Renter,Employed
1670,2022,"Toronto, Ontario",668200,Renter,Employed
1672,2021,"Toronto, Ontario",339000,Renter,Not employed
1673,2022,"Toronto, Ontario",247600,Renter,Not employed
1678,2021,"Toronto, Ontario",391800,Renter,Belongs to a visible minority group
1679,2022,"Toronto, Ontario",538000,Renter,Belongs to a visible minority group
1681,2021,"Toronto, Ontario",410100,Renter,Does not belong to a visible minority group
1682,2022,"Toronto, Ontario",376700,Renter,Does not belong to a visible minority group
1687,2021,"Toronto, Ontario",94200,Renter,Very difficult to meet financial needs
1688,2022,"Toronto, Ontario",143300,Renter,Very difficult to meet financial needs
1690,2021,"Toronto, Ontario",185200,Renter,Difficult to meet financial needs
1691,2022,"Toronto, Ontario",278000,Renter,Difficult to meet financial needs
1693,2021,"Toronto, Ontario",287700,Renter,Neither difficult nor easy to meet financial needs
1694,2022,"Toronto, Ontario",329000,Renter,Neither difficult nor easy to meet financial needs
1696,2021,"Toronto, Ontario",178900,Renter,Easy to meet financial needs
1697,2022,"Toronto, Ontario",132300,Renter,Easy to meet financial needs
1699,2021,"Toronto, Ontario",61500,Renter,Very easy to meet financial needs
1700,2022,"Toronto, Ontario",37100,Renter,Very easy to meet financial needs
1705,2021,"Hamilton, Ontario",8200,First-time homebuyer,One-family household - couple with children
1706,2022,"Hamilton, Ontario",9700,First-time homebuyer,One-family household - couple with children
1708,2021,"Hamilton, Ontario",9700,First-time homebuyer,One-family household - couple without children
1709,2022,"Hamilton, Ontario",8600,First-time homebuyer,One-family household - couple without children
1711,2021,"Hamilton, Ontario",0,First-time homebuyer,One-family household - one-parent family
1712,2022,"Hamilton, Ontario",1500,First-time homebuyer,One-family household - one-parent family
1714,2021,"Hamilton, Ontario",3500,First-time homebuyer,Other family household
1715,2022,"Hamilton, Ontario",3600,First-time homebuyer,Other family household
1717,2021,"Hamilton, Ontario",4600,First-time homebuyer,One-person household
1718,2022,"Hamilton, Ontario",7200,First-time homebuyer,One-person household
1720,2021,"Hamilton, Ontario",100,First-time homebuyer,Two-or-more-person non-family household
1721,2022,"Hamilton, Ontario",0,First-time homebuyer,Two-or-more-person non-family household
1726,2021,"Hamilton, Ontario",300,First-time homebuyer,15 to 24 years
1727,2022,"Hamilton, Ontario",500,First-time homebuyer,15 to 24 years
1729,2021,"Hamilton, Ontario",13700,First-time homebuyer,25 to 34 years
1730,2022,"Hamilton, Ontario",15400,First-time homebuyer,25 to 34 years
1732,2021,"Hamilton, Ontario",5800,First-time homebuyer,35 to 44 years
1733,2022,"Hamilton, Ontario",8100,First-time homebuyer,35 to 44 years
1735,2021,"Hamilton, Ontario",4300,First-time homebuyer,45 to 54 years
1736,2022,"Hamilton, Ontario",4500,First-time homebuyer,45 to 54 years
1738,2021,"Hamilton, Ontario",2000,First-time homebuyer,55 to 64 years
1739,2022,"Hamilton, Ontario",1000,First-time homebuyer,55 to 64 years
1741,2021,"Hamilton, Ontario",100,First-time homebuyer,65 to 74 years
1742,2022,"Hamilton, Ontario",600,First-time homebuyer,65 to 74 years
1744,2021,"Hamilton, Ontario",0,First-time homebuyer,75 years and older
1745,2022,"Hamilton, Ontario",600,First-time homebuyer,75 years and older
1750,2021,"Hamilton, Ontario",23100,First-time homebuyer,Employed
1751,2022,"Hamilton, Ontario",29300,First-time homebuyer,Employed
1753,2021,"Hamilton, Ontario",3000,First-time homebuyer,Not employed
1754,2022,"Hamilton, Ontario",1400,First-time homebuyer,Not employed
1759,2021,"Hamilton, Ontario",7200,First-time homebuyer,Belongs to a visible minority group
1760,2022,"Hamilton, Ontario",13400,First-time homebuyer,Belongs to a visible minority group
1762,2021,"Hamilton, Ontario",18900,First-time homebuyer,Does not belong to a visible minority group
1763,2022,"Hamilton, Ontario",17300,First-time homebuyer,Does not belong to a visible minority group
1768,2021,"Hamilton, Ontario",300,First-time homebuyer,Very difficult to meet financial needs
1769,2022,"Hamilton, Ontario",3900,First-time homebuyer,Very difficult to meet financial needs
1771,2021,"Hamilton, Ontario",3100,First-time homebuyer,Difficult to meet financial needs
1772,2022,"Hamilton, Ontario",10900,First-time homebuyer,Difficult to meet financial needs
1774,2021,"Hamilton, Ontario",12900,First-time homebuyer,Neither difficult nor easy to meet financial needs
1775,2022,"Hamilton, Ontario",9600,First-time homebuyer,Neither difficult nor easy to meet financial needs
1777,2021,"Hamilton, Ontario",6900,First-time homebuyer,Easy to meet financial needs
1778,2022,"Hamilton, Ontario",4800,First-time homebuyer,Easy to meet financial needs
1780,2021,"Hamilton, Ontario",2800,First-time homebuyer,Very easy to meet financial needs
1781,2022,"Hamilton, Ontario",1400,First-time homebuyer,Very easy to meet financial needs
1786,2021,"Hamilton, Ontario",57600,Repeat homebuyer,One-family household - couple with children
1787,2022,"Hamilton, Ontario",63500,Repeat homebuyer,One-family household - couple with children
1789,2021,"Hamilton, Ontario",46200,Repeat homebuyer,One-family household - couple without children
1790,2022,"Hamilton, Ontario",49300,Repeat homebuyer,One-family household - couple without children
1792,2021,"Hamilton, Ontario",15000,Repeat homebuyer,One-family household - one-parent family
1793,2022,"Hamilton, Ontario",14700,Repeat homebuyer,One-family household - one-parent family
1795,2021,"Hamilton, Ontario",17800,Repeat homebuyer,Other family household
1796,2022,"Hamilton, Ontario",12900,Repeat homebuyer,Other family household
1798,2021,"Hamilton, Ontario",39300,Repeat homebuyer,One-person household
1799,2022,"Hamilton, Ontario",40400,Repeat homebuyer,One-person household
1801,2021,"Hamilton, Ontario",3000,Repeat homebuyer,Two-or-more-person non-family household
1802,2022,"Hamilton, Ontario",2600,Repeat homebuyer,Two-or-more-person non-family household
1807,2021,"Hamilton, Ontario",700,Repeat homebuyer,15 to 24 years
1808,2022,"Hamilton, Ontario",1300,Repeat homebuyer,15 to 24 years
1810,2021,"Hamilton, Ontario",15300,Repeat homebuyer,25 to 34 years
1811,2022,"Hamilton, Ontario",5600,Repeat homebuyer,25 to 34 years
1813,2021,"Hamilton, Ontario",20500,Repeat homebuyer,35 to 44 years
1814,2022,"Hamilton, Ontario",30500,Repeat homebuyer,35 to 44 years
1816,2021,"Hamilton, Ontario",34400,Repeat homebuyer,45 to 54 years
1817,2022,"Hamilton, Ontario",42000,Repeat homebuyer,45 to 54 years
1819,2021,"Hamilton, Ontario",45300,Repeat homebuyer,55 to 64 years
1820,2022,"Hamilton, Ontario",40000,Repeat homebuyer,55 to 64 years
1822,2021,"Hamilton, Ontario",33600,Repeat homebuyer,65 to 74 years
1823,2022,"Hamilton, Ontario",36200,Repeat homebuyer,65 to 74 years
1825,2021,"Hamilton, Ontario",29100,Repeat homebuyer,75 years and older
1826,2022,"Hamilton, Ontario",27800,Repeat homebuyer,75 years and older
1831,2021,"Hamilton, Ontario",105300,Repeat homebuyer,Employed
1832,2022,"Hamilton, Ontario",113300,Repeat homebuyer,Employed
1834,2021,"Hamilton, Ontario",73000,Repeat homebuyer,Not employed
1835,2022,"Hamilton, Ontario",69100,Repeat homebuyer,Not employed
1840,2021,"Hamilton, Ontario",27200,Repeat homebuyer,Belongs to a visible minority group
1841,2022,"Hamilton, Ontario",34100,Repeat homebuyer,Belongs to a visible minority group
1843,2021,"Hamilton, Ontario",150900,Repeat homebuyer,Does not belong to a visible minority group
1844,2022,"Hamilton, Ontario",148200,Repeat homebuyer,Does not belong to a visible minority group
1849,2021,"Hamilton, Ontario",7100,Repeat homebuyer,Very difficult to meet financial needs
1850,2022,"Hamilton, Ontario",10100,Repeat homebuyer,Very difficult to meet financial needs
1852,2021,"Hamilton, Ontario",27100,Repeat homebuyer,Difficult to meet financial needs
1853,2022,"Hamilton, Ontario",43800,Repeat homebuyer,Difficult to meet financial needs
1855,2021,"Hamilton, Ontario",76900,Repeat homebuyer,Neither difficult nor easy to meet financial needs
1856,2022,"Hamilton, Ontario",80800,Repeat homebuyer,Neither difficult nor easy to meet financial needs
1858,2021,"Hamilton, Ontario",45000,Repeat homebuyer,Easy to meet financial needs
1859,2022,"Hamilton, Ontario",33700,Repeat homebuyer,Easy to meet financial needs
1861,2021,"Hamilton, Ontario",22600,Repeat homebuyer,Very easy to meet financial needs
1862,2022,"Hamilton, Ontario",15000,Repeat homebuyer,Very easy to meet financial needs
1867,2021,"Hamilton, Ontario",15400,Renter,One-family household - couple with children
1868,2022,"Hamilton, Ontario",16300,Renter,One-family household - couple with children
1870,2021,"Hamilton, Ontario",16800,Renter,One-family household - couple without children
1871,2022,"Hamilton, Ontario",18200,Renter,One-family household - couple without children
1873,2021,"Hamilton, Ontario",11200,Renter,One-family household - one-parent family
1874,2022,"Hamilton, Ontario",12700,Renter,One-family household - one-parent family
1876,2021,"Hamilton, Ontario",4000,Renter,Other family household
1877,2022,"Hamilton, Ontario",4900,Renter,Other family household
1879,2021,"Hamilton, Ontario",39500,Renter,One-person household
1880,2022,"Hamilton, Ontario",49400,Renter,One-person household
1882,2021,"Hamilton, Ontario",3900,Renter,Two-or-more-person non-family household
1883,2022,"Hamilton, Ontario",6400,Renter,Two-or-more-person non-family household
1888,2021,"Hamilton, Ontario",5200,Renter,15 to 24 years
1889,2022,"Hamilton, Ontario",6000,Renter,15 to 24 years
1891,2021,"Hamilton, Ontario",17600,Renter,25 to 34 years
1892,2022,"Hamilton, Ontario",23600,Renter,25 to 34 years
1894,2021,"Hamilton, Ontario",19800,Renter,35 to 44 years
1895,2022,"Hamilton, Ontario",19200,Renter,35 to 44 years
1897,2021,"Hamilton, Ontario",15000,Renter,45 to 54 years
1898,2022,"Hamilton, Ontario",17600,Renter,45 to 54 years
1900,2021,"Hamilton, Ontario",13400,Renter,55 to 64 years
1901,2022,"Hamilton, Ontario",14600,Renter,55 to 64 years
1903,2021,"Hamilton, Ontario",11500,Renter,65 to 74 years
1904,2022,"Hamilton, Ontario",15200,Renter,65 to 74 years
1906,2021,"Hamilton, Ontario",8200,Renter,75 years and older
1907,2022,"Hamilton, Ontario",11700,Renter,75 years and older
1912,2021,"Hamilton, Ontario",45400,Renter,Employed
1913,2022,"Hamilton, Ontario",62500,Renter,Employed
1915,2021,"Hamilton, Ontario",44000,Renter,Not employed
1916,2022,"Hamilton, Ontario",45200,Renter,Not employed
1921,2021,"Hamilton, Ontario",20800,Renter,Belongs to a visible minority group
1922,2022,"Hamilton, Ontario",27200,Renter,Belongs to a visible minority group
1924,2021,"Hamilton, Ontario",68600,Renter,Does not belong to a visible minority group
1925,2022,"Hamilton, Ontario",79600,Renter,Does not belong to a visible minority group
1930,2021,"Hamilton, Ontario",9600,Renter,Very difficult to meet financial needs
1931,2022,"Hamilton, Ontario",16000,Renter,Very difficult to meet financial needs
1933,2021,"Hamilton, Ontario",23300,Renter,Difficult to meet financial needs
1934,2022,"Hamilton, Ontario",32200,Renter,Difficult to meet financial needs
1936,2021,"Hamilton, Ontario",33900,Renter,Neither difficult nor easy to meet financial needs
1937,2022,"Hamilton, Ontario",42500,Renter,Neither difficult nor easy to meet financial needs
1939,2021,"Hamilton, Ontario",15400,Renter,Easy to meet financial needs
1940,2022,"Hamilton, Ontario",11100,Renter,Easy to meet financial needs
1942,2021,"Hamilton, Ontario",8400,Renter,Very easy to meet financial needs
1943,2022,"Hamilton, Ontario",5700,Renter,Very easy to meet financial needs
1948,2021,"Kitchener-Cambridge-Waterloo, Ontario",6300,First-time homebuyer,One-family household - couple with children
1949,2022,"Kitchener-Cambridge-Waterloo, Ontario",6800,First-time homebuyer,One-family household - couple with children
1951,2021,"Kitchener-Cambridge-Waterloo, Ontario",7100,First-time homebuyer,One-family household - couple without children
1952,2022,"Kitchener-Cambridge-Waterloo, Ontario",5600,First-time homebuyer,One-family household - couple without children
1954,2021,"Kitchener-Cambridge-Waterloo, Ontario",400,First-time homebuyer,One-family household - one-parent family
1955,2022,"Kitchener-Cambridge-Waterloo, Ontario",600,First-time homebuyer,One-family household - one-parent family
1957,2021,"Kitchener-Cambridge-Waterloo, Ontario",2000,First-time homebuyer,Other family household
1958,2022,"Kitchener-Cambridge-Waterloo, Ontario",2000,First-time homebuyer,Other family household
1960,2021,"Kitchener-Cambridge-Waterloo, Ontario",3400,First-time homebuyer,One-person household
1961,2022,"Kitchener-Cambridge-Waterloo, Ontario",2700,First-time homebuyer,One-person household
1963,2021,"Kitchener-Cambridge-Waterloo, Ontario",1200,First-time homebuyer,Two-or-more-person non-family household
1964,2022,"Kitchener-Cambridge-Waterloo, Ontario",800,First-time homebuyer,Two-or-more-person non-family household
1969,2021,"Kitchener-Cambridge-Waterloo, Ontario",700,First-time homebuyer,15 to 24 years
1970,2022,"Kitchener-Cambridge-Waterloo, Ontario",200,First-time homebuyer,15 to 24 years
1972,2021,"Kitchener-Cambridge-Waterloo, Ontario",9500,First-time homebuyer,25 to 34 years
1973,2022,"Kitchener-Cambridge-Waterloo, Ontario",7200,First-time homebuyer,25 to 34 years
1975,2021,"Kitchener-Cambridge-Waterloo, Ontario",5500,First-time homebuyer,35 to 44 years
1976,2022,"Kitchener-Cambridge-Waterloo, Ontario",7700,First-time homebuyer,35 to 44 years
1978,2021,"Kitchener-Cambridge-Waterloo, Ontario",3600,First-time homebuyer,45 to 54 years
1979,2022,"Kitchener-Cambridge-Waterloo, Ontario",2000,First-time homebuyer,45 to 54 years
1981,2021,"Kitchener-Cambridge-Waterloo, Ontario",600,First-time homebuyer,55 to 64 years
1982,2022,"Kitchener-Cambridge-Waterloo, Ontario",400,First-time homebuyer,55 to 64 years
1984,2021,"Kitchener-Cambridge-Waterloo, Ontario",0,First-time homebuyer,65 to 74 years
1985,2022,"Kitchener-Cambridge-Waterloo, Ontario",500,First-time homebuyer,65 to 74 years
1987,2021,"Kitchener-Cambridge-Waterloo, Ontario",400,First-time homebuyer,75 years and older
1988,2022,"Kitchener-Cambridge-Waterloo, Ontario",500,First-time homebuyer,75 years and older
1993,2021,"Kitchener-Cambridge-Waterloo, Ontario",15200,First-time homebuyer,Employed
1994,2022,"Kitchener-Cambridge-Waterloo, Ontario",15400,First-time homebuyer,Employed
1996,2021,"Kitchener-Cambridge-Waterloo, Ontario",5200,First-time homebuyer,Not employed
1997,2022,"Kitchener-Cambridge-Waterloo, Ontario",3200,First-time homebuyer,Not employed
2002,2021,"Kitchener-Cambridge-Waterloo, Ontario",7800,First-time homebuyer,Belongs to a visible minority group
2003,2022,"Kitchener-Cambridge-Waterloo, Ontario",9100,First-time homebuyer,Belongs to a visible minority group
2005,2021,"Kitchener-Cambridge-Waterloo, Ontario",12500,First-time homebuyer,Does not belong to a visible minority group
2006,2022,"Kitchener-Cambridge-Waterloo, Ontario",9400,First-time homebuyer,Does not belong to a visible minority group
2011,2021,"Kitchener-Cambridge-Waterloo, Ontario",1200,First-time homebuyer,Very difficult to meet financial needs
2012,2022,"Kitchener-Cambridge-Waterloo, Ontario",3100,First-time homebuyer,Very difficult to meet financial needs
2014,2021,"Kitchener-Cambridge-Waterloo, Ontario",3600,First-time homebuyer,Difficult to meet financial needs
2015,2022,"Kitchener-Cambridge-Waterloo, Ontario",4800,First-time homebuyer,Difficult to meet financial needs
2017,2021,"Kitchener-Cambridge-Waterloo, Ontario",7100,First-time homebuyer,Neither difficult nor easy to meet financial needs
2018,2022,"Kitchener-Cambridge-Waterloo, Ontario",7600,First-time homebuyer,Neither difficult nor easy to meet financial needs
2020,2021,"Kitchener-Cambridge-Waterloo, Ontario",5000,First-time homebuyer,Easy to meet financial needs
2021,2022,"Kitchener-Cambridge-Waterloo, Ontario",2500,First-time homebuyer,Easy to meet financial needs
2023,2021,"Kitchener-Cambridge-Waterloo, Ontario",3500,First-time homebuyer,Very easy to meet financial needs
2024,2022,"Kitchener-Cambridge-Waterloo, Ontario",500,First-time homebuyer,Very easy to meet financial needs
2029,2021,"Kitchener-Cambridge-Waterloo, Ontario",49800,Repeat homebuyer,One-family household - couple with children
2030,2022,"Kitchener-Cambridge-Waterloo, Ontario",38600,Repeat homebuyer,One-family household - couple with children
2032,2021,"Kitchener-Cambridge-Waterloo, Ontario",39300,Repeat homebuyer,One-family household - couple without children
2033,2022,"Kitchener-Cambridge-Waterloo, Ontario",28500,Repeat homebuyer,One-family household - couple without children
2035,2021,"Kitchener-Cambridge-Waterloo, Ontario",11500,Repeat homebuyer,One-family household - one-parent family
2036,2022,"Kitchener-Cambridge-Waterloo, Ontario",11500,Repeat homebuyer,One-family household - one-parent family
2038,2021,"Kitchener-Cambridge-Waterloo, Ontario",6500,Repeat homebuyer,Other family household
2039,2022,"Kitchener-Cambridge-Waterloo, Ontario",15300,Repeat homebuyer,Other family household
2041,2021,"Kitchener-Cambridge-Waterloo, Ontario",24300,Repeat homebuyer,One-person household
2042,2022,"Kitchener-Cambridge-Waterloo, Ontario",25300,Repeat homebuyer,One-person household
